Index Arrival time  CPU Burst Length   Priority
 422        6063                  19     2
 423        6089                  17     2
 424        6103                  15     4
 425        6106                  19     3
 426        6110                   6     7
 427        6132                  15     6
 428        6155                  14     6
 429        6193                  18     2
 430        6208                   0     5
 431        6211                   2     2
 432        6256                   3     5
 433        6265                  23     2
 434        6317                  12     6
 435        6330                  22     3
 436        6339                  15     1
 437        6393                  24     9
 438        6403                  22     8
 439        6413                  19     8
 440        6421                  21     7
 441        6430                   6     3
 442        6457                  22     2
 443        6459                  19     1
 444        6461                   4     3
 445        6517                   8     5
 446        6518                   8     7
 447        6518                  16     3
 448        6590                   2     4
 449        6611                  18     1
 450        6614                   4     8
 451        6627                   7     2
 452        6640                  19     4
 453        6667                  13     5
 454        6685                  10     4
 455        6687                  15     3
 456        6694                  15     7
 457        6722                  18     6
 458        6728                  15     3
 459        6735                   8     4
 460        6749                  23     2
 461        6754                   5     5
 462        6754                  16     1
 463        6760                   0     8
 464        6786                  24     9
 465        6789                   3     1
 466        6831                   7     8
 467        6849                  10     1
 468        6850                  20     4
 469        6851                  18     5
 470        6862                  19     6
 471        6867                   4     5
 472        6876                  11     3
 473        6890                   8     7
 474        6918                   2     1
 475        6943                   5     1
 476        6981                  20     3
 477        6983                  22     7
 478        7052                   2     2
 479        7053                   9     8
 480        7065                  11     3
 481        7074                  15     6
 482        7109                  11     1
 483        7139                   4     1
 484        7140                  14     3
 485        7141                   9     1
 486        7155                   8     3
 487        7160                  20     4
 488        7165                   1     4
 489        7184                   3     7
 490        7205                   8     9
 491        7223                  11     4
 492        7223                  22     4
 493        7224                   7     5
 494        7240                  15     9
 495        7254                   1     3
 496        7256                  17     1
 497        7260                  13     3
 498        7270                  10     9
 499        7273                  18     7
 500        7289                   8     1
 501        7295                   8     6
 502        7320                  10     8
 503        7364                  14     5
 504        7420                  18     6
 505        7433                  12     6
 506        7444                   1     4
 507        7448                  24     5
 508        7451                   5     9
 509        7477                  15     9
 510        7493                  17     1
 511        7508                   4     1
 512        7517                  13     3
 513        7528                   4     2
 514        7531                  15     6
 515        7540                   1     9
 516        7566                  17     9
 517        7573                  17     8
 518        7616                  16     5
 519        7632                  11     2
 520        7662                   6     9
 521        7664                  11     6
 522        7666                   7     1
 523        7670                   9     7
 524        7687                  11     2
 525        7694                   1     4
 526        7709                  20     9
 527        7721                   4     2
 528        7748                  18     6
 529        7763                  12     7
 530        7786                   6     3
 531        7791                  22     2
 532        7837                  13     6
 533        7880                  20     3
 534        7886                  10     4
 535        7893                  20     6
 536        7898                  21     6
 537        7929                  17     2
 538        7931                   8     3
 539        7943                   9     1
 540        7988                  24     3
 541        7991                   5     8
 542        8060                  18     4
 543        8063                  24     9
 544        8085                  11     7
 545        8086                   5     7
 546        8087                   7     1
 547        8089                  21     2
 548        8092                  13     9
 549        8146                   5     6
 550        8161                   2     4
 551        8187                   1     2
 552        8199                  21     5
 553        8248                  24     2
 554        8256                  17     6
 555        8258                  21     7
 556        8264                   3     7
 557        8265                  16     7
 558        8274                  15     3
 559        8276                  11     5
 560        8284                   4     8
 561        8293                   7     5
 562        8304                   6     9
 563        8306                  19     1
 564        8306                  13     9
 565        8319                   4     3
 566        8346                   5     8
 567        8353                  23     9
 568        8353                   1     8
 569        8363                  23     4
 570        8378                   1     6
 571        8398                   0     3
 572        8401                  19     5
 573        8414                   2     2
 574        8433                  19     4
 575        8444                  17     5
 576        8461                   4     1
 577        8498                  20     9
 578        8520                   4     4
 579        8522                  19     9
 580        8546                   3     5
 581        8552                  13     8
 582        8557                   5     2
 583        8628                  12     2
 584        8639                   9     7
 585        8733                  24     5
 586        8735                  15     2
 587        8740                   3     1
 588        8757                   2     1
 589        8763                  10     4
 590        8767                  10     5
 591        8768                   2     8
 592        8770                   4     5
 593        8810                   7     9
 594        8820                  13     7
 595        8834                   8     7
 596        8846                  18     9
 597        8856                   5     9
 598        8875                   3     2
 599        8884                  24     8
 600        8897                  19     7
 601        8899                   1     6
 602        8899                  13     5
 603        8910                   9     1
 604        8926                   8     9
 605        8958                  10     9
 606        8978                  23     2
 607        8987                  20     9
 608        8996                  11     5
 609        8999                  14     9
 610        9015                  19     3
 611        9045                   7     1
 612        9058                   8     3
 613        9080                  11     3
 614        9116                   5     2
 615        9120                   2     3
 616        9175                   5     7
 617        9197                   9     8
 618        9258                   2     2
 619        9291                  11     5
 620        9292                  11     8
 621        9301                   4     8
 622        9301                  15     7
 623        9301                   8     2
 624        9312                   8     4
 625        9313                   9     9
 626        9326                  15     4
 627        9356                  15     5
 628        9380                   4     5
 629        9386                  16     5
 630        9394                  17     9
 631        9398                   4     6
 632        9409                  14     6
 633        9416                  15     3
 634        9446                  16     6
 635        9477                  13     5
 636        9483                  13     7
 637        9502                   4     3
 638        9544                  23     3
 639        9593                  15     4
 640        9609                   8     9
 641        9626                   4     4
 642        9648                  15     5
 643        9653                  18     3
 644        9656                   1     6
 645        9663                  24     5
 646        9664                   1     5
 647        9712                  15     7
 648        9730                  17     7
 649        9752                  18     9
 650        9756                  15     7
 651        9780                  22     7
 652        9795                  10     9
 653        9798                   6     5
 654        9803                  23     8
 655        9808                  21     3
 656        9845                   8     1
 657        9863                  23     8
 658        9867                   8     7
 659        9924                  16     6
 660        9940                  11     7
 661        9960                   8     6
 662        9964                  17     9
 663        9978                   0     2
 664       10000                   1     7
 665       10019                   5     3
 666       10052                   9     6
 667       10054                   6     9
 668       10095                  19     2
 669       10108                  22     7
 670       10117                  19     4
 671       10118                   6     2
 672       10128                  23     8
 673       10177                  13     1
 674       10178                  23     8
 675       10184                  10     7
 676       10185                  22     8
 677       10236                   8     1
 678       10248                  15     3
 679       10253                  11     5
 680       10266                   3     5
 681       10278                   9     8
 682       10296                  15     3
 683       10313                   0     2
 684       10330                   8     9
 685       10349                  16     2
 686       10355                   4     9
 687       10361                   4     5
 688       10401                  24     1
 689       10401                   0     6
 690       10429                   6     3
 691       10431                  23     8
 692       10435                  16     2
 693       10436                   5     7
 694       10442                   1     8
 695       10455                  14     8
 696       10476                  18     3
 697       10477                  14     9
 698       10491                  23     6
 699       10500                  23     9
 700       10501                   7     8
 701       10508                   6     3
 702       10515                  19     2
 703       10542                   8     2
 704       10550                   8     6
 705       10626                  18     8
 706       10633                   1     2
 707       10647                  14     4
 708       10666                  10     4
 709       10697                  10     4
 710       10710                  10     7
 711       10725                  14     7
 712       10757                   4     9
 713       10816                   7     3
 714       10823                  21     6
 715       10823                   8     9
 716       10829                   4     7
 717       10832                   6     2
 718       10885                  21     7
 719       10885                  15     8
 720       10889                  13     1
 721       10892                   0     2
 722       10894                  13     8
 723       10925                  13     4
 724       10968                  15     9
 725       10987                  18     8
 726       10994                  18     3
 727       11004                   7     6
 728       11027                   8     9
 729       11030                  17     1
 730       11057                  23     2
 731       11063                  20     4
 732       11071                   1     5
 733       11086                  13     2
 734       11086                  18     6
 735       11097                  22     1
 736       11115                   8     7
 737       11130                  24     7
 738       11132                  20     1
 739       11144                   9     3
 740       11146                  13     2
 741       11149                  20     7
 742       11155                   1     8
 743       11163                   7     7
 744       11171                  21     7
 745       11174                  22     2
 746       11175                   3     2
 747       11200                   9     7
 748       11291                  14     4
 749       11341                  20     7
 750       11341                   9     7
 751       11345                  20     8
 752       11349                  21     3
 753       11398                  14     1
 754       11438                   2     1
 755       11445                   8     4
 756       11450                   9     7
 757       11455                  11     9
 758       11473                  17     8
 759       11475                  16     5
 760       11481                   2     1
 761       11505                  19     4
 762       11564                  22     9
 763       11565                   9     9
 764       11592                  20     6
 765       11597                  16     3
 766       11601                   0     2
 767       11651                  21     7
 768       11661                  16     4
 769       11674                  10     8
 770       11682                   4     5
 771       11687                   1     1
 772       11699                  22     7
 773       11714                   4     1
 774       11724                   8     9
 775       11725                  13     4
 776       11734                   4     6
 777       11740                   5     7
 778       11747                   6     4
 779       11753                   1     9
 780       11757                  18     5
 781       11782                  11     4
 782       11788                   9     1
 783       11807                  17     6
 784       11812                   0     9
 785       11826                   7     4
 786       11832                   4     8
 787       11836                  10     5
 788       11844                  11     7
 789       11845                  17     5
 790       11861                  21     9
 791       11891                   7     1
 792       11908                   0     5
 793       11910                  19     7
 794       11923                   0     4
 795       11940                  14     4
 796       11945                  15     4
 797       11967                  11     8
 798       11973                   4     7
 799       11974                   6     6
 800       11994                  23     8
 801       12019                  16     2
 802       12047                  16     7
 803       12050                  22     1
 804       12063                  24     4
 805       12065                  22     7
 806       12081                   1     7
 807       12094                   8     6
 808       12109                   5     4
 809       12195                   6     4
 810       12235                   0     8
 811       12242                  22     5
 812       12264                  17     8
 813       12294                   2     8
 814       12300                   0     3
 815       12307                  13     3
 816       12324                   7     2
 817       12365                   9     6
 818       12389                  11     5
 819       12399                  10     8
 820       12408                  13     2
 821       12417                   8     1
 822       12424                  11     2
 823       12434                   0     4
 824       12439                   1     7
 825       12454                   6     5
 826       12464                  13     7
 827       12468                   9     9
 828       12476                   4     1
 829       12546                   7     5
 830       12547                   3     1
 831       12551                   4     9
 832       12553                  10     3
 833       12578                   8     6
 834       12595                  10     5
 835       12608                  18     3
 836       12608                   5     7
 837       12614                  19     5
 838       12663                   2     1
 839       12672                  12     8
 840       12692                  18     1
 841       12712                  16     6
 842       12717                  11     1
 843       12722                  14     1
 844       12751                  23     6
 845       12756                  23     5
 846       12769                  17     4
 847       12770                   2     8
 848       12771                  12     1
 849       12792                  11     3
 850       12796                  11     9
 851       12805                  15     1
 852       12805                  15     9
 853       12806                  12     8
 854       12806                  16     9
 855       12815                   8     7
 856       12816                  18     7
 857       12820                  13     9
 858       12821                  17     3
 859       12839                  16     2
 860       12852                  14     6
 861       12874                   1     1
 862       12876                  12     3
 863       12891                  22     6
 864       12898                   6     6
 865       12907                  20     3
 866       12964                   2     8
 867       12996                  15     6
 868       13005                  20     9
 869       13037                  17     8
 870       13062                  23     3
 871       13082                  12     7
 872       13111                  22     8
 873       13118                  21     3
 874       13120                   8     3
 875       13126                  24     1
 876       13141                   0     9
 877       13147                  24     6
 878       13162                   2     9
 879       13174                  14     6
 880       13179                  12     4
 881       13190                  16     1
 882       13209                   4     8
 883       13215                  17     2
 884       13225                   9     2
 885       13271                  18     5
 886       13299                  15     4
 887       13316                  15     1
 888       13320                   4     6
 889       13323                   2     7
 890       13323                  13     6
 891       13328                  17     1
 892       13332                  24     3
 893       13361                  21     2
 894       13388                  21     5
 895       13388                   0     5
 896       13391                  23     8
 897       13406                  23     5
 898       13411                   4     1
 899       13416                  12     3
 900       13433                  18     9
 901       13448                   5     9
 902       13451                  24     2
 903       13455                   5     6
 904       13472                   2     9
 905       13485                  21     3
 906       13494                  13     5
 907       13568                   2     9
 908       13599                  15     9
 909       13604                  16     6
 910       13621                  15     1
 911       13634                  15     7
 912       13640                  24     5
 913       13693                  13     4
 914       13706                  20     5
 915       13709                  15     7
 916       13715                   2     7
 917       13753                   1     3
 918       13762                  11     4
 919       13770                  13     4
 920       13794                   8     1
 921       13796                  13     5
 922       13878                   1     3
 923       13901                  20     9
 924       13911                   1     3
 925       13932                  21     7
 926       13954                  17     9
 927       13971                   1     1
 928       13979                   4     5
 929       13996                   7     4
 930       13997                  24     9
 931       14020                   0     1
 932       14039                  24     6
 933       14079                  13     7
 934       14125                  22     4
 935       14173                  11     7
 936       14183                   3     8
 937       14188                  16     1
 938       14195                   3     5
 939       14197                   7     6
 940       14204                  10     4
 941       14226                   9     3
 942       14255                  20     9
 943       14279                   1     1
 944       14281                   3     2
 945       14318                  22     3
 946       14331                   3     6
 947       14338                  18     4
 948       14338                   9     2
 949       14378                  13     7
 950       14394                   7     6
 951       14409                   6     5
 952       14416                   8     8
 953       14453                  23     7
 954       14473                  20     3
 955       14496                  21     6
 956       14504                  14     5
 957       14507                  14     4
 958       14531                  11     9
 959       14541                  22     7
 960       14568                   6     9
 961       14580                   0     4
 962       14582                  19     3
 963       14585                   3     1
 964       14610                   5     9
 965       14623                  18     5
 966       14629                  12     9
 967       14644                  23     5
 968       14663                  12     2
 969       14670                  23     9
 970       14681                  20     7
 971       14725                   8     7
 972       14736                   2     9
 973       14753                   7     7
 974       14767                  16     9
 975       14785                  10     2
 976       14802                  18     5
 977       14831                  15     2
 978       14845                  19     6
 979       14848                  16     7
 980       14848                  21     5
 981       14857                   0     7
 982       14868                  15     6
 983       14879                  11     4
 984       14895                  10     2
 985       14903                  10     3
 986       14906                   8     2
 987       14956                   5     5
 988       14997                  20     3
 989       15004                  13     8
 990       15011                  14     7
 991       15045                  22     3
 992       15088                   9     2
 993       15115                   0     8
 994       15120                  10     5
 995       15136                   6     1
 996       15151                  16     8
 997       15184                   0     1
 998       15195                   3     7
 999       15222                  20     4
1000       15234                  14     7
1001       15254                  19     9
1002       15256                  23     9
1003       15262                   1     4
1004       15308                  16     6
1005       15326                   9     2
1006       15328                   3     7
1007       15342                  22     1
1008       15388                  24     8
1009       15390                  18     1
1010       15395                  16     8
1011       15406                  20     6
1012       15423                   5     6
1013       15439                   7     9
1014       15439                  17     6
1015       15459                   6     5
1016       15468                  10     5
1017       15470                   1     6
1018       15490                  16     1
1019       15499                  12     4
1020       15499                   7     2
1021       15508                   0     5
1022       15512                  23     7
1023       15530                  21     2
1024       15545                   2     4
1025       15579                   9     3
1026       15589                  24     5
1027       15605                  15     8
1028       15609                  14     8
1029       15644                   9     7
1030       15672                   9     6
1031       15704                   2     2
1032       15708                  24     3
1033       15777                  10     4
1034       15796                   4     5
1035       15807                  14     9
1036       15813                  15     8
1037       15824                  21     6
1038       15829                   7     4
1039       15851                  23     1
1040       15904                   3     4
1041       15947                  18     6
1042       15949                  17     5
1043       15970                  18     5
1044       15990                  17     3
1045       15992                   1     3
1046       15999                  13     3
